Date,return,label,ticker
01-04-2004,0.06981951524864227,0,MCHX
02-04-2004,0.08947399277429269,0,MCHX
05-04-2004,0.15845380863022585,1,MCHX
06-04-2004,-0.051709438520208595,1,MCHX
07-04-2004,-0.05452961775078469,0,MCHX
08-04-2004,0.08372070541379739,0,MCHX
12-04-2004,0.04806883044789645,1,MCHX
13-04-2004,-0.05651107128174526,0,MCHX
14-04-2004,0.041666736532284254,1,MCHX
15-04-2004,-0.017499947684629036,0,MCHX
16-04-2004,0.02205242101611593,1,MCHX
19-04-2004,-0.002489497249797523,1,MCHX
20-04-2004,-0.008319355784262683,1,MCHX
21-04-2004,-0.03271846620535512,1,MCHX
22-04-2004,-0.014744163433576762,0,MCHX
23-04-2004,0.021127139758705393,0,MCHX
26-04-2004,0.016379232826406298,0,MCHX
27-04-2004,0.026293409843270776,0,MCHX
28-04-2004,0.08264437126781532,1,MCHX
29-04-2004,-0.007633585535056109,0,MCHX
30-04-2004,0.006923312606617937,0,MCHX
03-05-2004,0.014514534997541517,1,MCHX
04-05-2004,-0.028614336472612245,0,MCHX
05-05-2004,0.009302742067303305,1,MCHX
06-05-2004,-0.017665296020259236,0,MCHX
07-05-2004,0.008600222796082857,1,MCHX
10-05-2004,-0.10000000998266112,1,MCHX
11-05-2004,-0.025839563992851478,0,MCHX
12-05-2004,0.023872347731988652,1,MCHX
13-05-2004,-0.00690810562551325,0,MCHX
14-05-2004,0.03652185305728928,1,MCHX
17-05-2004,-0.021812130747249192,1,MCHX
18-05-2004,-0.013722184708489626,0,MCHX
19-05-2004,0.0,1,MCHX
20-05-2004,-0.04347823652622029,1,MCHX
21-05-2004,-0.00909113790828675,0,MCHX
24-05-2004,0.0,0,MCHX
25-05-2004,0.004586918050647926,1,MCHX
26-05-2004,-0.03470299233904195,0,MCHX
27-05-2004,0.017029541983305307,1,MCHX
28-05-2004,-0.023255861313078552,1,MCHX
01-06-2004,-0.003809325710103173,1,MCHX
02-06-2004,-0.007648215217416432,0,MCHX
03-06-2004,0.018304097002533437,0,MCHX
04-06-2004,0.017975810396903436,1,MCHX
07-06-2004,-0.0018591176802701392,1,MCHX
08-06-2004,-0.0065175327343955924,0,MCHX
09-06-2004,0.005623131265172221,1,MCHX
10-06-2004,-0.03914259936733999,0,MCHX
14-06-2004,0.040737157606911545,0,MCHX
15-06-2004,0.09040103381098374,0,MCHX
16-06-2004,0.06837591315591696,1,MCHX
17-06-2004,-0.00399999793957917,1,MCHX
18-06-2004,-0.044176787415049046,0,MCHX
21-06-2004,0.046218575604139556,1,MCHX
22-06-2004,-0.01606435215487767,0,MCHX
23-06-2004,0.03183697360316873,0,MCHX
24-06-2004,0.000790996092699281,1,MCHX
25-06-2004,-0.08300380852093958,1,MCHX
28-06-2004,-0.011206866884180156,1,MCHX
29-06-2004,-0.01918059216878565,1,MCHX
30-06-2004,-0.006222356022380748,1,MCHX
01-07-2004,-0.016100033622365895,1,MCHX
02-07-2004,-0.005454495434002449,1,MCHX
06-07-2004,-0.005484410123981931,1,MCHX
07-07-2004,-0.036765094905631734,1,MCHX
08-07-2004,-0.05915994456473872,0,MCHX
09-07-2004,0.027383113811785043,1,MCHX
12-07-2004,-0.01283320155901968,1,MCHX
13-07-2004,-0.0009999481031441881,1,MCHX
14-07-2004,-0.006006080716836726,0,MCHX
15-07-2004,0.0,1,MCHX
16-07-2004,-0.051359186725015826,1,MCHX
19-07-2004,-0.04564784035897684,0,MCHX
20-07-2004,0.03448311673057147,0,MCHX
21-07-2004,0.06774151002637496,1,MCHX
22-07-2004,-0.024169227387468184,1,MCHX
23-07-2004,-0.03508729612906869,0,MCHX
26-07-2004,0.004278057852773465,0,MCHX
27-07-2004,0.025558798505043168,1,MCHX
28-07-2004,-0.0550361600000856,0,MCHX
29-07-2004,0.10989011066765064,1,MCHX
30-07-2004,-0.07326771352861172,0,MCHX
02-08-2004,0.021367860617774292,1,MCHX
03-08-2004,-0.020920827296102562,0,MCHX
04-08-2004,0.025641281401614924,0,MCHX
05-08-2004,0.004167053722188507,1,MCHX
06-08-2004,-0.0560168034313262,1,MCHX
09-08-2004,-0.037363094712056566,0,MCHX
10-08-2004,0.006849549168859603,1,MCHX
11-08-2004,-0.0090700430006313,1,MCHX
12-08-2004,-0.02059536487890612,0,MCHX
13-08-2004,0.08177590691035475,1,MCHX
16-08-2004,-0.003239850677887013,1,MCHX
17-08-2004,-0.035752870278500826,0,MCHX
18-08-2004,0.016853925268357495,0,MCHX
19-08-2004,0.00110498613342358,1,MCHX
20-08-2004,-0.002207532973522497,0,MCHX
23-08-2004,0.0210176049614208,0,MCHX
24-08-2004,0.018418153750701105,0,MCHX
25-08-2004,0.0,1,MCHX
26-08-2004,-0.026595737393824592,0,MCHX
27-08-2004,0.010929380889845852,0,MCHX
30-08-2004,0.009729569817624961,1,MCHX
31-08-2004,-0.01498899576203272,1,MCHX
01-09-2004,-0.005435337941097185,0,MCHX
02-09-2004,0.014207758865405928,0,MCHX
03-09-2004,0.038793587938543705,0,MCHX
07-09-2004,0.040456116418010835,0,MCHX
08-09-2004,0.03389814513987277,0,MCHX
09-09-2004,0.01639370930801909,0,MCHX
10-09-2004,0.06736233552770243,1,MCHX
13-09-2004,-0.012444940980393948,0,MCHX
14-09-2004,0.03420362660188059,1,MCHX
15-09-2004,-0.016536046669708426,0,MCHX
16-09-2004,0.0265490053738473,0,MCHX
17-09-2004,0.06465490731993251,1,MCHX
20-09-2004,-0.014574663307290625,1,MCHX
21-09-2004,-0.009860538566327404,0,MCHX
22-09-2004,0.0008299392849078213,0,MCHX
23-09-2004,0.01575448872443852,0,MCHX
24-09-2004,0.026122353896440353,0,MCHX
27-09-2004,0.010341855553122725,0,MCHX
28-09-2004,0.05118109717250752,1,MCHX
29-09-2004,-0.008239275148285707,1,MCHX
30-09-2004,-0.05891253083847081,0,MCHX
01-10-2004,0.06260048376901617,1,MCHX
04-10-2004,-0.017371572631923793,1,MCHX
05-10-2004,-0.006917791331128353,1,MCHX
06-10-2004,-0.010061894355192558,0,MCHX
07-10-2004,0.002345561073996416,1,MCHX
08-10-2004,-0.003900153969042308,1,MCHX
11-10-2004,-0.028974163158260402,0,MCHX
12-10-2004,0.019354974052094853,0,MCHX
13-10-2004,0.011075779137264208,1,MCHX
14-10-2004,-0.0086070535155226,0,MCHX
15-10-2004,0.021309883513870975,0,MCHX
18-10-2004,0.03554873392671931,1,MCHX
19-10-2004,-0.048507059633045135,0,MCHX
20-10-2004,0.010195342985728661,0,MCHX
21-10-2004,0.022515766105342783,1,MCHX
22-10-2004,-0.01974169444027507,1,MCHX
25-10-2004,-0.012393148581725022,0,MCHX
26-10-2004,0.12627426637173045,1,MCHX
27-10-2004,-0.027158883846745474,0,MCHX
28-10-2004,0.023621925304396774,1,MCHX
29-10-2004,-0.03846143455380269,1,MCHX
01-11-2004,-0.01527268265865478,1,MCHX
02-11-2004,-0.011816985099516786,0,MCHX
03-11-2004,0.0014947870133028562,0,MCHX
04-11-2004,0.044776102190735134,1,MCHX
05-11-2004,-0.007142946497854408,0,MCHX
08-11-2004,0.007913815097014387,1,MCHX
09-11-2004,-0.04211297938384073,1,MCHX
10-11-2004,-0.005961327371238334,0,MCHX
11-11-2004,0.029985486113826232,0,MCHX
12-11-2004,0.16739427457241884,0,MCHX
15-11-2004,0.045511186157477734,1,MCHX
16-11-2004,-0.07513426101937859,1,MCHX
17-11-2004,-0.0006446288937715927,1,MCHX
18-11-2004,-0.019354747588040455,1,MCHX
19-11-2004,-0.012500027534406377,1,MCHX
22-11-2004,-0.01065926347331747,0,MCHX
23-11-2004,0.04848474126983637,0,MCHX
24-11-2004,0.0070646650460319815,0,MCHX
26-11-2004,0.005102021960466496,1,MCHX
29-11-2004,-0.01015216522327178,0,MCHX
30-11-2004,0.0019229767531552255,0,MCHX
01-12-2004,0.021113217194627554,0,MCHX
02-12-2004,0.06140338420266467,1,MCHX
03-12-2004,-0.015938540701224246,0,MCHX
06-12-2004,0.06178775670191117,1,MCHX
07-12-2004,-0.016384419813652684,1,MCHX
08-12-2004,-0.012061630681164837,1,MCHX
09-12-2004,-0.01395365865765541,1,MCHX
10-12-2004,-0.0135611469139435,0,MCHX
13-12-2004,0.047220021855790106,1,MCHX
14-12-2004,-0.03082164821521649,0,MCHX
15-12-2004,0.0,0,MCHX
16-12-2004,0.0029447911385516168,0,MCHX
17-12-2004,0.01996463529314263,1,MCHX
20-12-2004,-0.008635722888806208,0,MCHX
21-12-2004,0.015099061675260428,0,MCHX
22-12-2004,0.02116668071320249,0,MCHX
23-12-2004,0.050420297804461,0,MCHX
