Date,return,label,ticker
11-08-1993,0.1071428571428572,0,INOD
12-08-1993,0.0,1,INOD
13-08-1993,-0.12903225806451613,0,INOD
16-08-1993,0.0,0,INOD
17-08-1993,0.07407407407407418,0,INOD
18-08-1993,0.0,0,INOD
19-08-1993,0.0,1,INOD
20-08-1993,-0.10344827586206895,0,INOD
23-08-1993,0.03846153846153855,0,INOD
24-08-1993,0.0185185185185186,1,INOD
25-08-1993,-0.07272727272727275,0,INOD
26-08-1993,0.019607843137254832,0,INOD
27-08-1993,0.0,0,INOD
30-08-1993,0.0,0,INOD
31-08-1993,0.05769230769230771,1,INOD
01-09-1993,-0.054545454545454564,0,INOD
02-09-1993,0.03846153846153855,0,INOD
03-09-1993,0.0,0,INOD
07-09-1993,0.0,1,INOD
08-09-1993,-0.03703703703703709,0,INOD
09-09-1993,0.0,0,INOD
10-09-1993,0.0,0,INOD
13-09-1993,0.0,0,INOD
14-09-1993,0.0,1,INOD
15-09-1993,-0.07692307692307687,0,INOD
16-09-1993,0.04166666666666674,1,INOD
17-09-1993,-0.06000000000000005,0,INOD
20-09-1993,0.14893617021276606,1,INOD
21-09-1993,-0.09259259259259256,0,INOD
22-09-1993,0.08163265306122458,1,INOD
23-09-1993,-0.07547169811320753,0,INOD
24-09-1993,0.1020408163265305,1,INOD
27-09-1993,-0.03703703703703709,1,INOD
28-09-1993,-0.05769230769230771,0,INOD
29-09-1993,0.08163265306122458,0,INOD
30-09-1993,0.09433962264150941,0,INOD
01-10-1993,0.0,1,INOD
04-10-1993,-0.10344827586206895,0,INOD
05-10-1993,0.0,0,INOD
06-10-1993,0.07692307692307687,0,INOD
07-10-1993,0.017857142857142794,1,INOD
08-10-1993,-0.10526315789473684,0,INOD
11-10-1993,0.11764705882352944,1,INOD
12-10-1993,-0.10526315789473684,0,INOD
13-10-1993,0.0,0,INOD
14-10-1993,0.0,0,INOD
15-10-1993,0.11764705882352944,1,INOD
18-10-1993,-0.10526315789473684,0,INOD
19-10-1993,0.11764705882352944,1,INOD
20-10-1993,-0.10526315789473684,0,INOD
21-10-1993,0.11764705882352944,0,INOD
22-10-1993,0.0,1,INOD
25-10-1993,-0.07017543859649122,0,INOD
26-10-1993,0.0,0,INOD
27-10-1993,0.05660377358490565,1,INOD
28-10-1993,-0.0892857142857143,0,INOD
29-10-1993,0.2549019607843137,1,INOD
01-11-1993,-0.15625,0,INOD
02-11-1993,0.0,0,INOD
03-11-1993,0.14814814814814814,0,INOD
04-11-1993,0.032258064516129004,0,INOD
05-11-1993,0.0,1,INOD
08-11-1993,-0.125,0,INOD
09-11-1993,0.1071428571428572,0,INOD
10-11-1993,0.032258064516129004,0,INOD
11-11-1993,0.0,0,INOD
12-11-1993,0.0,1,INOD
15-11-1993,-0.125,0,INOD
16-11-1993,0.1428571428571428,1,INOD
17-11-1993,-0.125,0,INOD
18-11-1993,0.1428571428571428,0,INOD
19-11-1993,0.0,1,INOD
22-11-1993,-0.125,0,INOD
23-11-1993,0.0535714285714286,0,INOD
24-11-1993,0.0847457627118644,0,INOD
26-11-1993,0.0,1,INOD
29-11-1993,-0.125,0,INOD
30-11-1993,0.1428571428571428,1,INOD
01-12-1993,-0.125,0,INOD
02-12-1993,0.1428571428571428,1,INOD
03-12-1993,-0.011718511581420787,0,INOD
06-12-1993,0.011857463403642576,0,INOD
07-12-1993,0.0,1,INOD
08-12-1993,-0.03125,1,INOD
09-12-1993,-0.09677419354838712,0,INOD
10-12-1993,0.1071428571428572,0,INOD
13-12-1993,0.0,0,INOD
14-12-1993,0.0,1,INOD
15-12-1993,-0.09677419354838712,0,INOD
16-12-1993,0.0,0,INOD
17-12-1993,0.0714285714285714,1,INOD
20-12-1993,-0.06666666666666665,0,INOD
21-12-1993,0.0,0,INOD
22-12-1993,0.0714285714285714,1,INOD
23-12-1993,-0.06666666666666665,0,INOD
27-12-1993,0.0714285714285714,0,INOD
28-12-1993,0.0,0,INOD
29-12-1993,0.0,0,INOD
30-12-1993,0.0,1,INOD
31-12-1993,-0.06666666666666665,0,INOD
03-01-1994,0.0,0,INOD
04-01-1994,0.0,0,INOD
05-01-1994,0.03571428571428581,1,INOD
06-01-1994,-0.03448275862068961,0,INOD
07-01-1994,0.0714285714285714,1,INOD
10-01-1994,-0.06666666666666665,0,INOD
11-01-1994,0.0,0,INOD
12-01-1994,0.0,0,INOD
13-01-1994,0.0,0,INOD
14-01-1994,0.0714285714285714,1,INOD
17-01-1994,-0.06666666666666665,0,INOD
18-01-1994,0.0,0,INOD
19-01-1994,0.0,0,INOD
20-01-1994,0.0,0,INOD
21-01-1994,0.0,0,INOD
24-01-1994,0.03571428571428581,0,INOD
25-01-1994,0.0,1,INOD
26-01-1994,-0.017241379310344862,0,INOD
27-01-1994,0.05263157894736836,0,INOD
28-01-1994,0.03333333333333344,0,INOD
31-01-1994,0.0,1,INOD
01-02-1994,-0.032258064516129004,0,INOD
02-02-1994,0.0,0,INOD
03-02-1994,0.0,0,INOD
04-02-1994,0.0,0,INOD
07-02-1994,0.03333333333333344,0,INOD
08-02-1994,0.032258064516129004,0,INOD
09-02-1994,0.0,1,INOD
10-02-1994,-0.078125,0,INOD
11-02-1994,0.0,1,INOD
14-02-1994,-0.016949152542372836,0,INOD
15-02-1994,0.0,0,INOD
16-02-1994,0.01724137931034475,0,INOD
17-02-1994,0.11864406779661008,1,INOD
18-02-1994,-0.09090909090909094,0,INOD
22-02-1994,0.10000000000000009,0,INOD
23-02-1994,0.0,0,INOD
24-02-1994,0.0,0,INOD
25-02-1994,0.0,1,INOD
28-02-1994,-0.030303030303030276,1,INOD
01-03-1994,-0.0625,0,INOD
02-03-1994,0.0,0,INOD
03-03-1994,0.016666666666666607,0,INOD
04-03-1994,0.049180327868852514,0,INOD
07-03-1994,0.0,0,INOD
08-03-1994,0.0,0,INOD
09-03-1994,0.0,1,INOD
10-03-1994,-0.07421851158142079,1,INOD
11-03-1994,-0.004219665728305122,0,INOD
14-03-1994,0.0,0,INOD
15-03-1994,0.0,0,INOD
16-03-1994,0.0,0,INOD
17-03-1994,0.0,1,INOD
18-03-1994,-0.05084745762711862,0,INOD
21-03-1994,0.03571428571428581,0,INOD
22-03-1994,0.0,0,INOD
23-03-1994,0.0,0,INOD
24-03-1994,0.0,0,INOD
25-03-1994,0.0,1,INOD
28-03-1994,-0.03448275862068961,0,INOD
29-03-1994,0.0,0,INOD
30-03-1994,0.03571428571428581,0,INOD
31-03-1994,0.0,0,INOD
04-04-1994,0.0,0,INOD
05-04-1994,0.0,1,INOD
06-04-1994,-0.017241379310344862,1,INOD
07-04-1994,-0.01754385964912286,0,INOD
08-04-1994,0.0,0,INOD
11-04-1994,0.03571428571428581,1,INOD
12-04-1994,-0.03448275862068961,0,INOD
13-04-1994,0.0,0,INOD
14-04-1994,0.0,1,INOD
15-04-1994,-0.0357142857142857,1,INOD
18-04-1994,-0.03703703703703709,0,INOD
19-04-1994,0.09615384615384626,0,INOD
20-04-1994,0.0,1,INOD
21-04-1994,-0.08771929824561409,0,INOD
22-04-1994,0.0,0,INOD
25-04-1994,0.09615384615384626,1,INOD
26-04-1994,-0.01754385964912286,1,INOD
28-04-1994,-0.0714285714285714,0,INOD
29-04-1994,0.09615384615384626,1,INOD
02-05-1994,-0.052631578947368474,1,INOD
03-05-1994,-0.03703703703703709,0,INOD
04-05-1994,0.0,0,INOD
05-05-1994,0.0,0,INOD
06-05-1994,0.03846153846153855,0,INOD
09-05-1994,0.03703703703703698,1,INOD
10-05-1994,-0.0714285714285714,0,INOD
11-05-1994,0.07692307692307687,1,INOD
12-05-1994,-0.0714285714285714,0,INOD
13-05-1994,0.009615384615384581,0,INOD
16-05-1994,0.06666666666666665,0,INOD
17-05-1994,0.0,1,INOD
18-05-1994,-0.06473200661795475,0,INOD
19-05-1994,0.0692122547505083,1,INOD
20-05-1994,-0.0714285714285714,0,INOD
23-05-1994,0.0,0,INOD
24-05-1994,0.07692307692307687,0,INOD
25-05-1994,0.0,1,INOD
26-05-1994,-0.0714285714285714,0,INOD
27-05-1994,0.0,0,INOD
31-05-1994,0.07692307692307687,1,INOD
01-06-1994,-0.0714285714285714,0,INOD
02-06-1994,0.03846153846153855,1,INOD
03-06-1994,-0.05555555555555558,0,INOD
06-06-1994,0.05882352941176472,1,INOD
07-06-1994,-0.01851851851851849,1,INOD
08-06-1994,-0.037735849056603765,0,INOD
09-06-1994,0.03921568627450989,1,INOD
10-06-1994,-0.042452542286998796,1,INOD
13-06-1994,-0.004926407558976331,0,INOD
14-06-1994,0.00990099009900991,1,INOD
15-06-1994,-0.019607843137254943,0,INOD
16-06-1994,0.0,0,INOD
17-06-1994,0.0,0,INOD
20-06-1994,0.0,0,INOD
21-06-1994,0.020000000000000018,1,INOD
22-06-1994,-0.02205867393344052,0,INOD
23-06-1994,0.002506112310483255,0,INOD
24-06-1994,0.040000000000000036,0,INOD
27-06-1994,0.019230769230769162,1,INOD
28-06-1994,-0.05660377358490565,0,INOD
29-06-1994,0.06000000000000005,1,INOD
30-06-1994,-0.018867924528301883,1,INOD
01-07-1994,-0.038461538461538436,0,INOD
05-07-1994,0.0,0,INOD
06-07-1994,0.0,0,INOD
07-07-1994,0.0,0,INOD
08-07-1994,0.0,0,INOD
11-07-1994,0.06000000000000005,1,INOD
12-07-1994,-0.06132046681530068,0,INOD
13-07-1994,0.005024817377654367,0,INOD
14-07-1994,0.040000000000000036,0,INOD
15-07-1994,0.0,1,INOD
18-07-1994,-0.038461538461538436,0,INOD
19-07-1994,0.040000000000000036,0,INOD
20-07-1994,0.0,1,INOD
21-07-1994,-0.038461538461538436,0,INOD
22-07-1994,0.040000000000000036,0,INOD
25-07-1994,0.0,1,INOD
26-07-1994,-0.038461538461538436,0,INOD
27-07-1994,0.0,0,INOD
28-07-1994,0.0,0,INOD
29-07-1994,0.040000000000000036,1,INOD
01-08-1994,-0.038461538461538436,0,INOD
02-08-1994,0.06000000000000005,1,INOD
03-08-1994,-0.05660377358490565,0,INOD
04-08-1994,0.0,0,INOD
05-08-1994,0.06000000000000005,0,INOD
08-08-1994,0.0,1,INOD
09-08-1994,-0.05660377358490565,0,INOD
10-08-1994,0.06000000000000005,0,INOD
11-08-1994,0.0,0,INOD
12-08-1994,0.0,1,INOD
15-08-1994,-0.05660377358490565,0,INOD
16-08-1994,0.0,0,INOD
17-08-1994,0.06000000000000005,1,INOD
18-08-1994,-0.05660377358490565,0,INOD
19-08-1994,0.0,0,INOD
22-08-1994,0.0,0,INOD
23-08-1994,0.0,0,INOD
24-08-1994,0.0,0,INOD
25-08-1994,0.0,0,INOD
26-08-1994,0.020000000000000018,1,INOD
29-08-1994,-0.019607843137254943,0,INOD
30-08-1994,0.0,0,INOD
31-08-1994,0.040000000000000036,0,INOD
01-09-1994,0.0,1,INOD
02-09-1994,-0.038461538461538436,1,INOD
06-09-1994,-0.020000000000000018,0,INOD
07-09-1994,0.0,0,INOD
08-09-1994,0.04081632653061229,1,INOD
09-09-1994,-0.0980392156862745,1,INOD
12-09-1994,-0.021739130434782594,1,INOD
13-09-1994,-0.022222222222222254,1,INOD
14-09-1994,-0.022727272727272707,0,INOD
15-09-1994,0.023255813953488413,1,INOD
16-09-1994,-0.022727272727272707,0,INOD
19-09-1994,0.0,0,INOD
20-09-1994,0.0,0,INOD
21-09-1994,0.0,0,INOD
22-09-1994,0.023255813953488413,0,INOD
23-09-1994,0.0,1,INOD
26-09-1994,-0.022727272727272707,0,INOD
27-09-1994,0.0,0,INOD
28-09-1994,0.0,0,INOD
29-09-1994,0.0,0,INOD
30-09-1994,0.023255813953488413,0,INOD
03-10-1994,0.0,1,INOD
04-10-1994,-0.022727272727272707,0,INOD
05-10-1994,0.023255813953488413,1,INOD
06-10-1994,-0.022727272727272707,0,INOD
07-10-1994,0.0,0,INOD
10-10-1994,0.0,0,INOD
11-10-1994,0.0,0,INOD
12-10-1994,0.0,0,INOD
